application/vnd.hzn-3d-crossword,3D Crossword Plugin,.x3d
video/3gpp,3GP,.3gp
video/3gpp2,3GP2,.3g2
application/vnd.mseq,3GPP MSEQ File,.mseq
application/vnd.3m.post-it-notes,3M Post It Notes,.pwn
application/vnd.3gpp.pic-bw-large,3rd Generation Partnership Project - Pic Large,.plb
application/vnd.3gpp.pic-bw-small,3rd Generation Partnership Project - Pic Small,.psb
application/vnd.3gpp.pic-bw-var,3rd Generation Partnership Project - Pic Var,.pvb
application/vnd.3gpp2.tcap,3rd Generation Partnership Project - Transaction Capabilities Application Part,.tcap
application/x-7z-compressed,7-Zip,.7z
application/x-abiword,AbiWord,.abw
application/x-ace-compressed,Ace Archive,.ace
application/vnd.americandynamics.acc,Active Content Compression,.acc
application/vnd.acucobol,ACU Cobol,.acu
application/vnd.acucorp,ACU Cobol,.atc
audio/adpcm,Adaptive differential pulse-code modulation,.adp
application/x-authorware-bin,Adobe (Macropedia) Authorware - Binary File,.aab
application/x-authorware-map,Adobe (Macropedia) Authorware - Map,.aam
application/x-authorware-seg,Adobe (Macropedia) Authorware - Segment File,.aas
application/vnd.adobe.air-application-installer-package+zip,Adobe AIR Application,.air
application/x-shockwave-flash,Adobe Flash,.swf
application/vnd.adobe.fxp,Adobe Flex Project,.fxp
application/pdf,Adobe Portable Document Format,.pdf
application/vnd.cups-ppd,Adobe PostScript Printer Description File Format,.ppd
application/x-director,Adobe Shockwave Player,.dir
application/vnd.adobe.xdp+xml,Adobe XML Data Package,.xdp
application/vnd.adobe.xfdf,Adobe XML Forms Data Format,.xfdf
audio/x-aac,Advanced Audio Coding (AAC),.aac
application/vnd.ahead.space,Ahead AIR Application,.ahead
application/vnd.airzip.filesecure.azf,AirZip FileSECURE,.azf
application/vnd.airzip.filesecure.azs,AirZip FileSECURE,.azs
application/vnd.amazon.ebook,Amazon Kindle eBook format,.azw
application/vnd.amiga.ami,AmigaDE,.ami
application/andrew-inset,Andrew Toolkit,N/A
application/vnd.android.package-archive,Android Package Archive,.apk
application/vnd.anser-web-certificate-issue-initiation,ANSER-WEB Terminal Client - Certificate Issue,.cii
application/vnd.anser-web-funds-transfer-initiation,ANSER-WEB Terminal Client - Web Funds Transfer,.fti
application/vnd.antix.game-component,Antix Game Player,.atx
application/vnd.apple.installer+xml,Apple Installer Package,.mpkg
application/applixware,Applixware,.aw
application/vnd.hhe.lesson-player,Archipelago Lesson Player,.les
application/vnd.aristanetworks.swi,Arista Networks Software Image,.swi
text/x-asm,Assembler Source File,.s
application/atomcat+xml,Atom Publishing Protocol,.atomcat
application/atomsvc+xml,Atom Publishing Protocol Service Document,.atomsvc
application/atom+xml,Atom Syndication Format,".atom, .xml"
application/pkix-attr-cert,Attribute Certificate,.ac
audio/x-aiff,Audio Interchange File Format,.aif
video/x-msvideo,Audio Video Interleave (AVI),.avi
application/vnd.audiograph,Audiograph,.aep
image/vnd.dxf,AutoCAD DXF,.dxf
model/vnd.dwf,Autodesk Design Web Format (DWF),.dwf
text/plain-bas,BAS Partitur Format,.par
application/x-bcpio,Binary CPIO Archive,.bcpio
application/octet-stream,Binary Data,.bin
image/bmp,Bitmap Image File,.bmp
application/x-bittorrent,BitTorrent,.torrent
application/vnd.rim.cod,Blackberry COD File,.cod
application/vnd.blueice.multipass,Blueice Research Multipass,.mpm
application/vnd.bmi,BMI Drawing Data Interchange,.bmi
application/x-sh,Bourne Shell Script,.sh
image/prs.btif,BTIF,.btif
application/vnd.businessobjects,BusinessObjects,.rep
application/x-bzip,Bzip Archive,.bz
application/x-bzip2,Bzip2 Archive,.bz2
application/x-csh,C Shell Script,.csh
text/x-c,C Source File,.c
application/vnd.chemdraw+xml,CambridgeSoft Chem Draw,.cdxml
text/css,Cascading Style Sheets (CSS),.css
chemical/x-cdx,ChemDraw eXchange file,.cdx
chemical/x-cml,Chemical Markup Language,.cml
chemical/x-csml,Chemical Style Markup Language,.csml
application/vnd.contact.cmsg,CIM Database,.cdbcmsg
application/vnd.claymore,Claymore Data Files,.cla
application/vnd.clonk.c4group,Clonk Game,.c4g
image/vnd.dvb.subtitle,Close Captioning - Subtitle,.sub
application/cdmi-capability,Cloud Data Management Interface (CDMI) - Capability,.cdmia
application/cdmi-container,Cloud Data Management Interface (CDMI) - Contaimer,.cdmic
application/cdmi-domain,Cloud Data Management Interface (CDMI) - Domain,.cdmid
application/cdmi-object,Cloud Data Management Interface (CDMI) - Object,.cdmio
application/cdmi-queue,Cloud Data Management Interface (CDMI) - Queue,.cdmiq
application/vnd.cluetrust.cartomobile-config,ClueTrust CartoMobile - Config,.c11amc
application/vnd.cluetrust.cartomobile-config-pkg,ClueTrust CartoMobile - Config Package,.c11amz
image/x-cmu-raster,CMU Image,.ras
model/vnd.collada+xml,COLLADA,.dae
text/csv,Comma-Separated Values,.csv
application/mac-compactpro,Compact Pro,.cpt
application/vnd.wap.wmlc,Compiled Wireless Markup Language (WMLC),.wmlc
image/cgm,Computer Graphics Metafile,.cgm
x-conference/x-cooltalk,CoolTalk,.ice
image/x-cmx,Corel Metafile Exchange (CMX),.cmx
application/vnd.xara,CorelXARA,.xar
application/vnd.cosmocaller,CosmoCaller,.cmc
application/x-cpio,CPIO Archive,.cpio
application/vnd.crick.clicker,CrickSoftware - Clicker,.clkx
application/vnd.crick.clicker.keyboard,CrickSoftware - Clicker - Keyboard,.clkk
application/vnd.crick.clicker.palette,CrickSoftware - Clicker - Palette,.clkp
application/vnd.crick.clicker.template,CrickSoftware - Clicker - Template,.clkt
application/vnd.crick.clicker.wordbank,CrickSoftware - Clicker - Wordbank,.clkw
application/vnd.criticaltools.wbs+xml,Critical Tools - PERT Chart EXPERT,.wbs
application/vnd.rig.cryptonote,CryptoNote,.cryptonote
chemical/x-cif,Crystallographic Interchange Format,.cif
chemical/x-cmdf,CrystalMaker Data Format,.cmdf
application/cu-seeme,CU-SeeMe,.cu
application/prs.cww,CU-Writer,.cww
text/vnd.curl,Curl - Applet,.curl
text/vnd.curl.dcurl,Curl - Detached Applet,.dcurl
text/vnd.curl.mcurl,Curl - Manifest File,.mcurl
text/vnd.curl.scurl,Curl - Source Code,.scurl
application/vnd.curl.car,CURL Applet,.car
application/vnd.curl.pcurl,CURL Applet,.pcurl
application/vnd.yellowriver-custom-menu,CustomMenu,.cmp
application/dssc+der,Data Structure for the Security Suitability of Cryptographic Algorithms,.dssc
application/dssc+xml,Data Structure for the Security Suitability of Cryptographic Algorithms,.xdssc
application/x-debian-package,Debian Package,.deb
audio/vnd.dece.audio,DECE Audio,.uva
image/vnd.dece.graphic,DECE Graphic,.uvi
video/vnd.dece.hd,DECE High Definition Video,.uvh
video/vnd.dece.mobile,DECE Mobile Video,.uvm
video/vnd.uvvu.mp4,DECE MP4,.uvu
video/vnd.dece.pd,DECE PD Video,.uvp
video/vnd.dece.sd,DECE SD Video,.uvs
video/vnd.dece.video,DECE Video,.uvv
application/x-dvi,Device Independent File Format (DVI),.dvi
application/vnd.fdsn.seed,Digital Siesmograph Networks - SEED Datafiles,.seed
application/x-dtbook+xml,Digital Talking Book,.dtb
application/x-dtbresource+xml,Digital Talking Book - Resource File,.res
application/vnd.dvb.ait,Digital Video Broadcasting,.ait
application/vnd.dvb.service,Digital Video Broadcasting,.svc
audio/vnd.digital-winds,Digital Winds Music,.eol
image/vnd.djvu,DjVu,.djvu
application/xml-dtd,Document Type Definition,.dtd
application/vnd.dolby.mlp,Dolby Meridian Lossless Packing,.mlp
application/x-doom,Doom Video Game,.wad
application/vnd.dpgraph,DPGraph,.dpg
audio/vnd.dra,DRA Audio,.dra
application/vnd.dreamfactory,DreamFactory,.dfac
audio/vnd.dts,DTS Audio,.dts
audio/vnd.dts.hd,DTS High Definition Audio,.dtshd
image/vnd.dwg,DWG Drawing,.dwg
application/vnd.dynageo,DynaGeo,.geo
application/ecmascript,ECMAScript,.es
application/vnd.ecowin.chart,EcoWin Chart,.mag
image/vnd.fujixerox.edmics-mmr,EDMICS 2000,.mmr
image/vnd.fujixerox.edmics-rlc,EDMICS 2000,.rlc
application/exi,Efficient XML Interchange,.exi
application/vnd.proteus.magazine,EFI Proteus,.mgz
application/epub+zip,Electronic Publication,.epub
message/rfc822,Email Message,.eml
application/vnd.enliven,Enliven Viewer,.nml
application/vnd.is-xpr,Express by Infoseek,.xpr
image/vnd.xiff,eXtended Image File Format (XIFF),.xif
application/vnd.xfdl,Extensible Forms Description Language,.xfdl
application/emma+xml,Extensible MultiModal Annotation,.emma
application/vnd.ezpix-album,EZPix Secure Photo Album,.ez2
application/vnd.ezpix-package,EZPix Secure Photo Album,.ez3
image/vnd.fst,FAST Search & Transfer ASA,.fst
video/vnd.fvt,FAST Search & Transfer ASA,.fvt
image/vnd.fastbidsheet,FastBid Sheet,.fbs
application/vnd.denovo.fcselayout-link,FCS Express Layout Link,.fe_launch
video/x-f4v,Flash Video,.f4v
video/x-flv,Flash Video,.flv
image/vnd.fpx,FlashPix,.fpx
image/vnd.net-fpx,FlashPix,.npx
text/vnd.fmi.flexstor,FLEXSTOR,.flx
video/x-fli,FLI/FLC Animation Format,.fli
application/vnd.fluxtime.clip,FluxTime Clip,.ftc
application/vnd.fdf,Forms Data Format,.fdf
text/x-fortran,Fortran Source File,.f
application/vnd.mif,FrameMaker Interchange Format,.mif
application/vnd.framemaker,FrameMaker Normal Format,.fm
image/x-freehand,FreeHand MX,.fh
application/vnd.fsc.weblaunch,Friendly Software Corporation,.fsc
application/vnd.frogans.fnc,Frogans Player,.fnc
application/vnd.frogans.ltf,Frogans Player,.ltf
application/vnd.fujixerox.ddd,Fujitsu - Xerox 2D CAD Data,.ddd
application/vnd.fujixerox.docuworks,Fujitsu - Xerox DocuWorks,.xdw
application/vnd.fujixerox.docuworks.binder,Fujitsu - Xerox DocuWorks Binder,.xbd
application/vnd.fujitsu.oasys,Fujitsu Oasys,.oas
application/vnd.fujitsu.oasys2,Fujitsu Oasys,.oa2
application/vnd.fujitsu.oasys3,Fujitsu Oasys,.oa3
application/vnd.fujitsu.oasysgp,Fujitsu Oasys,.fg5
application/vnd.fujitsu.oasysprs,Fujitsu Oasys,.bh2
application/x-futuresplash,FutureSplash Animator,.spl
application/vnd.fuzzysheet,FuzzySheet,.fzs
image/g3fax,G3 Fax Image,.g3
application/vnd.gmx,GameMaker ActiveX,.gmx
model/vnd.gtw,Gen-Trix Studio,.gtw
application/vnd.genomatix.tuxedo,Genomatix Tuxedo Framework,.txd
application/vnd.geogebra.file,GeoGebra,.ggb
application/vnd.geogebra.tool,GeoGebra,.ggt
model/vnd.gdl,Geometric Description Language (GDL),.gdl
application/vnd.geometry-explorer,GeoMetry Explorer,.gex
application/vnd.geonext,GEONExT and JSXGraph,.gxt
application/vnd.geoplan,GeoplanW,.g2w
application/vnd.geospace,GeospacW,.g3w
application/x-font-ghostscript,Ghostscript Font,.gsf
application/x-font-bdf,Glyph Bitmap Distribution Format,.bdf
application/x-gtar,GNU Tar Files,.gtar
application/x-texinfo,GNU Texinfo Document,.texinfo
application/x-gnumeric,Gnumeric,.gnumeric
application/vnd.google-earth.kml+xml,Google Earth - KML,.kml
application/vnd.google-earth.kmz,Google Earth - Zipped KML,.kmz
application/vnd.grafeq,GrafEq,.gqf
image/gif,Graphics Interchange Format,.gif
text/vnd.graphviz,Graphviz,.gv
application/vnd.groove-account,Groove - Account,.gac
application/vnd.groove-help,Groove - Help,.ghf
application/vnd.groove-identity-message,Groove - Identity Message,.gim
application/vnd.groove-injector,Groove - Injector,.grv
application/vnd.groove-tool-message,Groove - Tool Message,.gtm
application/vnd.groove-tool-template,Groove - Tool Template,.tpl
application/vnd.groove-vcard,Groove - Vcard,.vcg
video/h261,H.261,.h261
video/h263,H.263,.h263
video/h264,H.264,.h264
application/vnd.hp-hpid,Hewlett Packard Instant Delivery,.hpid
application/vnd.hp-hps,Hewlett-Packard's WebPrintSmart,.hps
application/x-hdf,Hierarchical Data Format,.hdf
audio/vnd.rip,Hit'n'Mix,.rip
application/vnd.hbci,Homebanking Computer Interface (HBCI),.hbci
application/vnd.hp-jlyt,HP Indigo Digital Press - Job Layout Languate,.jlt
application/vnd.hp-pcl,HP Printer Command Language,.pcl
application/vnd.hp-hpgl,HP-GL/2 and HP RTL,.hpgl
application/vnd.yamaha.hv-script,HV Script,.hvs
application/vnd.yamaha.hv-dic,HV Voice Dictionary,.hvd
application/vnd.yamaha.hv-voice,HV Voice Parameter,.hvp
application/vnd.hydrostatix.sof-data,Hydrostatix Master Suite,.sfd-hdstx
application/hyperstudio,Hyperstudio,.stk
application/vnd.hal+xml,Hypertext Application Language,.hal
text/html,HyperText Markup Language (HTML),.html
application/vnd.ibm.rights-management,IBM DB2 Rights Manager,.irm
application/vnd.ibm.secure-container,IBM Electronic Media Management System - Secure Container,.sc
text/calendar,iCalendar,.ics
application/vnd.iccprofile,ICC profile,.icc
image/x-icon,Icon Image,.ico
application/vnd.igloader,igLoader,.igl
image/ief,Image Exchange Format,.ief
application/vnd.immervision-ivp,ImmerVision PURE Players,.ivp
application/vnd.immervision-ivu,ImmerVision PURE Players,.ivu
application/reginfo+xml,IMS Networks,.rif
text/vnd.in3d.3dml,In3D - 3DML,.3dml
text/vnd.in3d.spot,In3D - 3DML,.spot
model/iges,Initial Graphics Exchange Specification (IGES),.igs
application/vnd.intergeo,Interactive Geometry Software,.i2g
application/vnd.cinderella,Interactive Geometry Software Cinderella,.cdy
application/vnd.intercon.formnet,Intercon FormNet,.xpw
application/vnd.isac.fcs,International Society for Advancement of Cytometry,.fcs
application/ipfix,Internet Protocol Flow Information Export,.ipfix
application/pkix-cert,Internet Public Key Infrastructure - Certificate,.cer
application/pkixcmp,Internet Public Key Infrastructure - Certificate Management Protocole,.pki
application/pkix-crl,Internet Public Key Infrastructure - Certificate Revocation Lists,.crl
application/pkix-pkipath,Internet Public Key Infrastructure - Certification Path,.pkipath
application/vnd.insors.igm,IOCOM Visimeet,.igm
application/vnd.ipunplugged.rcprofile,IP Unplugged Roaming Client,.rcprofile
application/vnd.irepository.package+xml,iRepository / Lucidoc Editor,.irp
text/vnd.sun.j2me.app-descriptor,J2ME App Descriptor,.jad
application/java-archive,Java Archive,.jar
application/java-vm,Java Bytecode File,.class
application/x-java-jnlp-file,Java Network Launching Protocol,.jnlp
application/java-serialized-object,Java Serialized Object,.ser
"text/x-java-source,java",Java Source File,.java
application/javascript,JavaScript,.js
application/json,JavaScript Object Notation (JSON),.json
application/vnd.joost.joda-archive,Joda Archive,.joda
video/jpm,JPEG 2000 Compound Image File Format,.jpm
image/jpeg,JPEG Image,.jpeg
image/jpeg,JPEG Image,.jpg
video/jpeg,JPGVideo,.jpgv
application/vnd.kahootz,Kahootz,.ktz
application/vnd.chipnuts.karaoke-mmd,Karaoke on Chipnuts Chipsets,.mmd
application/vnd.kde.karbon,KDE KOffice Office Suite - Karbon,.karbon
application/vnd.kde.kchart,KDE KOffice Office Suite - KChart,.chrt
application/vnd.kde.kformula,KDE KOffice Office Suite - Kformula,.kfo
application/vnd.kde.kivio,KDE KOffice Office Suite - Kivio,.flw
application/vnd.kde.kontour,KDE KOffice Office Suite - Kontour,.kon
application/vnd.kde.kpresenter,KDE KOffice Office Suite - Kpresenter,.kpr
application/vnd.kde.kspread,KDE KOffice Office Suite - Kspread,.ksp
application/vnd.kde.kword,KDE KOffice Office Suite - Kword,.kwd
application/vnd.kenameaapp,Kenamea App,.htke
application/vnd.kidspiration,Kidspiration,.kia
application/vnd.kinar,Kinar Applications,.kne
application/vnd.kodak-descriptor,Kodak Storyshare,.sse
application/vnd.las.las+xml,Laser App Enterprise,.lasxml
application/x-latex,LaTeX,.latex
application/vnd.llamagraphics.life-balance.desktop,Life Balance - Desktop Edition,.lbd
application/vnd.llamagraphics.life-balance.exchange+xml,Life Balance - Exchange Format,.lbe
application/vnd.jam,Lightspeed Audio Lab,.jam
application/vnd.lotus-1-2-3,Lotus 1-2-3,.123
application/vnd.lotus-approach,Lotus Approach,.apr
application/vnd.lotus-freelance,Lotus Freelance,.pre
application/vnd.lotus-notes,Lotus Notes,.nsf
application/vnd.lotus-organizer,Lotus Organizer,.org
application/vnd.lotus-screencam,Lotus Screencam,.scm
application/vnd.lotus-wordpro,Lotus Wordpro,.lwp
audio/vnd.lucent.voice,Lucent Voice,.lvp
audio/x-mpegurl,M3U (Multimedia Playlist),.m3u
video/x-m4v,M4v,.m4v
application/mac-binhex40,Macintosh BinHex 4.0,.hqx
application/vnd.macports.portpkg,MacPorts Port System,.portpkg
application/vnd.osgeo.mapguide.package,MapGuide DBXML,.mgp
application/marc,MARC Formats,.mrc
application/marcxml+xml,MARC21 XML Schema,.mrcx
application/mxf,Material Exchange Format,.mxf
application/vnd.wolfram.player,Mathematica Notebook Player,.nbp
application/mathematica,Mathematica Notebooks,.ma
application/mathml+xml,Mathematical Markup Language,.mathml
application/mbox,Mbox database files,.mbox
application/vnd.medcalcdata,MedCalc,.mc1
application/mediaservercontrol+xml,Media Server Control Markup Language,.mscml
application/vnd.mediastation.cdkey,MediaRemote,.cdkey
application/vnd.mfer,Medical Waveform Encoding Format,.mwf
application/vnd.mfmp,Melody Format for Mobile Platform,.mfm
model/mesh,Mesh Data Type,.msh
application/mads+xml,Metadata Authority Description Schema,.mads
application/mets+xml,Metadata Encoding and Transmission Standard,.mets
application/mods+xml,Metadata Object Description Schema,.mods
application/metalink4+xml,Metalink,.meta4
application/vnd.ms-powerpoint.template.macroenabled.12,Micosoft PowerPoint - Macro-Enabled Template File,.potm
application/vnd.ms-word.document.macroenabled.12,Micosoft Word - Macro-Enabled Document,.docm
application/vnd.ms-word.template.macroenabled.12,Micosoft Word - Macro-Enabled Template,.dotm
application/vnd.mcd,Micro CADAM Helix D&D,.mcd
application/vnd.micrografx.flo,Micrografx,.flo
application/vnd.micrografx.igx,Micrografx iGrafx Professional,.igx
application/vnd.eszigno3+xml,MICROSEC e-Szign¢,.es3
application/x-msaccess,Microsoft Access,.mdb
